meas,area,mean,sd,min,max,median,genotype,date,img,side
57,8264.463,114.411,41.956,18,255,109,osa,230508,e1,anterior
58,8264.463,48.279,19.045,8,160,45,osa,230508,e1,posterior
59,10203.041,160.696,54.546,20,255,160,osa,230508,f1,anterior
60,10203.041,55.313,21.353,11,220,52,osa,230508,f1,posterior
61,12205.786,129.848,45.695,27,255,123,osa,230508,g1,anterior
62,12205.786,46.935,17.605,6,155,44,osa,230508,g1,posterior
63,13937.114,155.606,56.048,25,255,151,osa,230508,h1,anterior
64,13937.114,60.926,23.646,13,217,57,osa,230508,h1,posterior
65,7590.106,167.304,51.257,41,255,162,osa,230508,i1,anterior
66,7590.106,60.843,22.714,14,195,57,osa,230508,i1,posterior
67,8495.625,118.558,46.583,13,255,116,osa,230508,j1,anterior
68,8495.625,41.536,18.567,5,167,37,osa,230508,j1,posterior
70,9949.559,163.369,58.913,28,255,158,osa,230508,k1,anterior
71,9949.559,62.948,26.586,0,255,57,osa,230508,k1,posterior
