date,genotype,name,sampleID,shape,gfp,brD,brD_gfp,brD_gfpNEG,brD_bkg,brD_ratio
211109,brm,a2,brm_a2,1.3.1.1024.1024,,,46.15890722488249,37.123413360663115,5.006411611458345,1.281330553044015
230508,osa,d1,osa_d1,1.4.1.1024.1024,,,42.84337703254746,25.43847015659343,4.604403103774396,1.8354061082662683
230508,lexA,g1,lexA_g1,1.4.1.1024.1024,,,59.7387575368796,52.31367627100323,8.341815852699169,1.168859838888817
230508,osa,h1,osa_h1,1.4.1.1024.1024,,,82.03825024236905,36.82232857722656,5.740457221380189,2.454736143376952
200503,lexA,l1,lexA_l1,1.4.1.1024.1024,,,61.81106995784498,43.22217004325943,8.5978552839745,1.5368741603644507
200503,osa,a1,osa_a1,1.4.1.1024.1024,,,74.69802159752011,38.033024419726644,4.649626822826961,2.098300347391799
230508,osa,i1,osa_i1,1.4.1.1024.1024,,,86.7740442222318,43.021570851491454,5.940608915196146,2.1799174316434025
230508,lexA,f1,lexA_f1,1.4.1.1024.1024,,,23.874246657353822,18.57819003376848,9.11317715379201,1.559540350419313
200503,lexA,a1,lexA_a1,1.4.1.1024.1024,,,37.98562686524334,26.72113599169132,5.711371217998448,1.5361550210051242
230508,osa,e1,osa_e1,1.4.1.1024.1024,,,79.09389490198063,37.914549836336825,8.862108610893026,2.4174142801321423
230508,lexA,j1,lexA_j1,1.4.1.1024.1024,,,70.38418683118692,56.103575317789065,9.58455171600709,1.306984334745384
230508,lexA,a1,lexA_a1,1.4.1.1024.1024,,,41.40155329296065,28.409561722561122,8.597746205461888,1.6557698641594136
200503,lexA,j1,lexA_j1,1.4.1.1024.1024,,,33.92772925083406,24.978119807396087,3.053955322941556,1.4082075487886323
200503,osa,f1,osa_f1,1.4.1.1024.1024,,,47.449372121533415,27.21774161959749,5.915765724951525,1.949753703693794
230508,osa,b1,osa_b1,1.4.1.1024.1024,,,42.777160490901075,24.913445755411832,4.708509637311365,1.884126266525839
200503,lexA,f1,lexA_f1,1.4.1.1024.1024,,,79.3478522445795,45.78092781760457,14.418947356182858,2.0703062731725606
200503,osa,j1,osa_j1,1.4.1.1024.1024,,,91.50518836579256,45.90691341760071,5.172447948898515,2.119402806039684
230508,osa,c1,osa_c1,1.4.1.1024.1024,,,65.58913521436423,34.06460108026765,4.404453088703756,2.062858288605403
200503,lexA,g1,lexA_g1,1.4.1.1024.1024,,,55.96248859835816,54.270387490425,8.083069374518512,1.0366356215722863
200503,osa,g1,osa_g1,1.4.1.1024.1024,,,59.31173629541811,33.09661523389664,5.892513122856235,1.9636458852609004
200503,lexA,k1,lexA_k1,1.4.1.1024.1024,,,70.31958412001181,44.537573488442334,10.581098454526904,1.759266402234585
211109,brm,f1,brm_f1,1.3.1.1024.1024,,,34.014470785887625,31.90471727263364,3.2137039315720783,1.073533600510184
200503,osa,d1,osa_d1,1.4.1.1024.1024,,,56.032071680411136,39.68462875589769,4.0929408420967155,1.459305076064532
200503,lexA,h1,lexA_h1,1.4.1.1024.1024,,,36.15601333139321,30.926354108897517,7.538843694689735,1.223609060129748
211109,brm,e1,brm_e1,1.3.1.1024.1024,,,39.054257609379654,35.96309897251911,7.407210129219086,1.108249428124028
230508,lexA,c1,lexA_c1,1.4.1.1024.1024,,,31.250021038458303,24.527254521023938,9.038898188780909,1.4340529345544035
200503,osa,h1,osa_h1,1.4.1.1024.1024,,,66.648836330883,38.47545916900822,8.124654718474241,1.9282580040931703
200503,lexA,d1,lexA_d1,1.4.1.1024.1024,,,50.94556563984394,45.102987410865985,8.416842274665079,1.1592584395903907
200503,lexA,e1,lexA_e1,1.4.1.1024.1024,,,33.42800564938504,25.615777428933484,6.0505731659981885,1.399291932527952
230508,osa,a1,osa_a1,1.4.1.1024.1024,,,69.11438101788171,33.989047711029556,5.642532359051092,2.239141138538588
200503,osa,i1,osa_i1,1.4.1.1024.1024,,,36.09207462385411,24.628542821383874,1.5265172089586394,1.496213275614441
230508,lexA,b1,lexA_b1,1.4.1.1024.1024,,,36.79636983279322,29.1509770471464,7.424931970732297,1.3518998860011893
211109,brm,d1,brm_d1,1.3.1.1024.1024,,,33.85615445641229,30.09059467967237,2.303852670996003,1.1355164191456533
200503,lexA,i1,lexA_i1,1.4.1.1024.1024,,,36.59174428415784,28.10366411518511,6.5214960443867245,1.393291357065163
200503,osa,e1,osa_e1,1.4.1.1024.1024,,,44.80214551520596,26.365088853866638,6.6672644127816705,1.935994567140319
230508,osa,f1,osa_f1,1.4.1.1024.1024,,,84.42283188078748,38.928889937130094,6.068702344040505,2.384469939947167
200503,lexA,b1,lexA_b1,1.4.1.1024.1024,,,29.62876059211759,20.51907307178358,5.379671788421417,1.601720461055837
230508,lexA,i1,lexA_i1,1.4.1.1024.1024,,,49.53603425728865,38.67506132082748,9.581636472887759,1.373313660843553
200503,osa,b1,osa_b1,1.4.1.1024.1024,,,54.33135429746501,34.50043486063752,3.77105065375246,1.6453406063498104
230508,osa,j1,osa_j1,1.4.1.1024.1024,,,58.5105543704488,27.16448426167423,5.597219440527669,2.453409617247337
211109,brm,c1,brm_c1,1.3.1.1024.1024,,,38.138586114268,33.49219506701205,4.944299150457511,1.1627577409150345
230508,lexA,e1,lexA_e1,1.4.1.1024.1024,,,44.37533159184335,33.74130761188281,8.813613599784482,1.426594773459569
230508,lexA,d1,lexA_d1,1.4.1.1024.1024,,,35.319378987030106,24.84481296312829,8.899660959187305,1.6569122715991
211109,brm,b1,brm_b1,1.3.1.1024.1024,,,45.57301630920757,34.792468052529294,5.386042379705285,1.366605189512751
230508,osa,k1,osa_k1,1.4.1.1024.1024,,,90.93117052158861,42.909245067666724,5.891712471936208,2.297275158189787
200503,osa,c1,osa_c1,1.4.1.1024.1024,,,51.29718641516762,25.04709225121075,5.024619813446351,2.311031604391002
230508,lexA,h1,lexA_h1,1.4.1.1024.1024,,,42.92530338918618,33.11078392645528,8.76120688642566,1.4030673488330527
230508,osa,g1,osa_g1,1.4.1.1024.1024,,,66.8374636906948,34.80678617375189,5.192731940915795,2.081603932548596
200503,lexA,c1,lexA_c1,1.4.1.1024.1024,,,63.082985693747204,55.81541496524716,6.787861693655429,1.1482344160280813
